Artist,Hour,stage,date,id
Le Nais,17:00 - 17:40,Adidas,03.06.22,44Wn7ZjTg4vIBEg22A6AMZ
Pinpilinpussies,18:35 - 19:20,Adidas,03.06.22,4Mbv7MoBUcLBWCuGBCxRf1
Cariño,20:15 - 21:00,Adidas,03.06.22,7fWD0BSDlixbj6YNQyHTLh
Lightning Bolt,21:55 - 22:40,Adidas,03.06.22,2og3FOCLYXT9H7IYE6QPUq
Tropical Fuck Storm,23:35 - 00:20,Adidas,03.06.22,0mL6LBSQ4bHe6hWq90KzHL
Wet Leg,01:15 - 02:00,Adidas,03.06.22,2TwOrUcYnAlIiKmVQkkoSZ
Kaydy Cain,02:55 - 03:40,Adidas,03.06.22,4nXXIxTneJksvGXrlmX8oA
Gabriela Richardson,17:30 - 18:30,Auditori,03.06.22,69YKwunlA0xl2yMS12cyMu
Za!,19:00 - 20:00,Auditori,03.06.22,5id3QE9SvJCxWwHVa0zRcD
Autechre,21:00 - 22:00,Auditori,03.06.22,6WH1V41LwGDGmlPUhSZLHO
Oscar Mulero,20:00 - 21:00,Desperados Cube (Primavera Bits),03.06.22,3jisZjR3TBVb9tIfTbRHTS
Lorenzo Senni,21:00 - 22:10,Desperados Cube (Primavera Bits),03.06.22,7mKwhB3UiepqzM946jBOyi
Buttechno,22:10 - 23:25,Desperados Cube (Primavera Bits),03.06.22,4XbQUkFYWthjpAPp96lHWt
Deena Abdelwahed ,23:25 - 00:55,Desperados Cube (Primavera Bits),03.06.22,20fUkJZtm2I6zdIuj2XpgV
Mano Le Tough,01:55 - 03:25,Desperados Cube (Primavera Bits),03.06.22,04KmByEP6icXVY0PvJaMMp
Pabllo VIttar,03:25 - 04:30,Desperados Cube (Primavera Bits),03.06.22,6tzRZ39aZlNqlUzQlkuhDV
Jeff Mills,04:30 - 06:00,Desperados Cube (Primavera Bits),03.06.22,2eIDAcLKnWc4D350YyzvgS
Stingray 313 ,22:30 - 23:15,El Punto by adidas Originals (Primavera Bits),03.06.22,4ha1AL8HqVr6WY9vSOow0n
Mainline Magic Orchestra,23:15 - 00:00,El Punto by adidas Originals (Primavera Bits),03.06.22,05zSozHG9kAvZTCmEo1fFT
Lory D,01:45 - 02:45,El Punto by adidas Originals (Primavera Bits),03.06.22,6JACkt5SfzTM7JmtvBEmIk
Jasmine Infiniti ,03:00 - 03:45,El Punto by adidas Originals (Primavera Bits),03.06.22,4Ii6N7zTISiFbVsUPPD0sE
Evian Christ,03:45 - 05:00,El Punto by adidas Originals (Primavera Bits),03.06.22,75BN2bMrpeLl89blBiaFuv
Violet,00:00 - 01:10,Lotus (Primavera Bits),03.06.22,1HkrZCBvUvk1nvBpR3uki3
Nidia,01:35 - 02:35,Lotus (Primavera Bits),03.06.22,3BKX2WA8UjZgTIJ2juyQ7G
Aurora Halal ,03:25 - 04:25,Lotus (Primavera Bits),03.06.22,4I8qgsaz4mQa9ICeCPibIF
CZN,04:50 - 05:50,Lotus (Primavera Bits),03.06.22,4AXLKUKQYoQHLw8Kb4WHd3
Blawan,14:00 - 15:15,Xiringuito Aperol (Primavera Bits),03.06.22,64kN9EkSTHYhda2FupL0KI
Enny,18:45 - 19:25,Cupra FKA Seat,04.06.22,3qEnCAnX23lvoxZYtBiPgL
Duki,20:25 - 21:25,Cupra FKA Seat,04.06.22,1bAftSH8umNcGZ0uyV7LMg
Jorja Smith,23:05 - 00:05,Cupra FKA Seat,04.06.22,1CoZyIx7UvdxT5c8UkMzHd
"Tyler, the Creator",01:45 - 03:00,Cupra FKA Seat,04.06.22,4V8LLVI7PbaPR0K2TGSxFF
Ferran Palau,18:00 - 18:40,Pull & Bear,04.06.22,7h0Xj4rDQMndEq2JsZZVzM
Mavis Staples,19:30 - 20:20,Pull & Bear,04.06.22,0cTSCsVx04SSht9V6cpKN0
Gorillaz,21:30 - 23:00,Pull & Bear,04.06.22,3AA28KZvwAUcZuOKwyblJQ
Nick Cave & The Bad Seeds,00:10 - 01:40,Pull & Bear,04.06.22,4UXJsSlnKd7ltsrHebV79Q
Jenny Hval,16:45 - 17:30,Dice FKA Ray-Ban,04.06.22,5eerVxtb9lY9p6D7m89Bs7
Porridge Radio,18:25 - 19:10,Dice FKA Ray-Ban,04.06.22,4vAQ4M7vgItwBtmBTgRu48
Einstürzende Neubaten,20:05 - 21:05,Dice FKA Ray-Ban,04.06.22,7KomCxZv6D5qCVvefwMnwB
Bauhaus,22:15 - 23:15,Dice FKA Ray-Ban,04.06.22,5N5tQ9Dx1h8Od7aRmGj7Fi
Beach House,00:25 - 01:40,Dice FKA Ray-Ban,04.06.22,56ZTgzPBDge0OvCGgMO3OY
